('1_2_5', 'impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'api/src/main/java/javax/faces/webapp/FacesServlet.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/config/ManagedBeanBuilder.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/webapp/Jsp20FacesInitializer.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'api/src/main/java/javax/faces/application/Application.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/config/FacesConfigurator.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_1_6', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/config/ManagedBeanBuilder.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/webapp/Jsp20FacesInitializer.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'api/src/main/java/javax/faces/application/Application.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
